attendance,study_hours,internal_marks,assignment_score,cgpa,final_marks
58,1.6,27,4,6.36,83
73,7.9,28,5,7.8,100
50,3.6,26,7,5.92,88
93,3.6,23,5,7.44,97
57,6.7,18,7,8.75,100
73,7.6,17,9,6.99,100
60,7.9,11,7,8.36,99
66,6.3,22,9,8.92,100
57,3.6,16,10,9.49,100
84,1.6,18,6,6.51,84
84,6.4,20,10,7.22,100
82,4.9,23,10,6.16,100
54,4.0,13,6,9.77,84
91,7.3,22,7,9.49,100
88,1.8,11,7,7.82,81
90,4.4,14,9,9.12,100
77,1.1,20,5,7.74,85
56,4.3,15,9,8.18,93
58,1.4,27,5,5.88,85
57,1.8,19,10,8.75,94
61,1.8,13,6,6.05,74
83,5.5,18,10,9.05,100
82,6.2,15,4,8.86,100
97,5.1,11,7,8.55,94
72,7.7,26,5,5.66,100
73,3.6,14,9,6.8,97
86,3.0,15,6,6.63,83
84,7.1,21,5,7.05,100
93,2.6,19,9,5.88,98
89,7.7,15,7,9.53,100
71,1.1,17,10,7.88,93
76,7.8,11,7,6.81,95
84,1.3,21,8,7.21,97
50,7.2,22,4,7.42,98
84,4.7,16,8,8.08,100
86,8.0,19,6,7.72,100
96,1.5,22,5,9.45,100
63,4.9,26,6,7.64,100
52,7.8,23,10,9.77,100
50,4.7,11,9,9.16,86
54,5.4,20,7,6.4,95
75,5.9,10,8,9.5,98
63,4.2,28,8,6.0,91
88,5.4,13,10,9.02,100
76,5.1,28,8,7.14,100
58,7.3,20,10,9.28,100
64,1.3,17,6,9.23,88
64,3.0,20,7,8.97,97
75,7.7,13,5,8.9,100
91,7.2,26,9,6.81,100
62,4.2,16,5,5.85,81
81,5.3,17,6,7.23,94
88,2.9,12,9,6.25,91
98,2.3,11,8,8.49,97
81,4.2,24,4,6.99,92
53,3.5,14,6,9.7,92
79,5.1,10,6,8.26,87
86,1.5,13,7,9.04,94
72,7.8,24,5,6.07,100
88,7.9,29,6,9.21,100
94,5.9,28,6,9.47,100
64,4.8,12,8,7.59,87
92,3.2,29,8,8.11,100
78,6.7,20,9,8.79,100
85,5.8,26,10,6.25,100
62,2.1,22,10,7.66,91
81,7.4,20,4,7.21,96
56,6.8,11,10,6.13,84
71,7.6,18,7,7.08,100
77,6.1,11,4,5.79,87
51,5.3,18,9,5.61,87
91,3.9,18,8,6.08,95
94,7.5,17,10,9.64,100
55,7.1,26,5,7.86,100
77,1.3,10,8,9.65,84
77,1.2,20,7,7.36,91
93,3.6,17,8,6.84,100
93,6.7,19,7,7.68,100
69,7.9,16,7,7.39,100
79,2.1,12,7,5.95,82
60,5.2,12,9,8.26,81
77,3.7,27,7,6.43,100
74,7.8,14,7,8.16,98
88,6.9,21,5,8.3,100
82,6.9,21,4,6.15,99
50,4.3,28,6,5.76,97
76,3.9,15,4,8.86,89
62,2.9,11,7,7.48,83
90,1.4,21,5,5.75,92
52,7.1,28,8,9.78,100
88,6.7,14,5,5.75,97
55,8.0,21,7,8.49,100
57,8.0,26,5,9.73,100
76,4.9,26,10,6.53,100
58,6.4,19,5,6.11,87
86,7.6,26,7,6.02,100
82,6.9,24,9,6.8,100
91,2.7,21,10,5.93,99
93,4.2,25,5,8.48,100
73,1.9,28,6,5.77,95
64,7.7,17,6,7.69,98
81,5.2,26,5,9.79,100
81,2.6,14,9,9.0,95
73,5.7,25,8,8.15,100
90,5.3,15,7,6.82,93
98,3.5,17,6,8.18,94
98,1.8,27,8,7.77,100
61,5.7,21,5,7.33,93
88,4.6,24,8,6.06,100
51,6.4,18,10,9.31,100
52,4.6,22,4,7.43,82
98,7.0,24,6,6.34,100
86,4.9,19,5,7.08,90
98,4.9,25,7,7.28,100
66,7.1,16,9,9.06,100
98,3.8,26,10,8.65,100
51,1.9,16,5,8.81,79
51,1.2,23,7,5.55,76
77,6.3,24,9,7.29,100
72,5.3,16,9,7.57,100
86,5.9,18,5,5.58,84
81,2.5,28,10,6.62,100
82,2.0,25,8,8.77,100
50,1.1,17,8,6.09,78
68,3.5,27,9,7.8,100
51,5.1,27,8,6.43,96
93,3.7,29,4,5.55,98
75,4.1,16,9,6.54,90
81,7.3,12,9,9.7,100
55,3.4,27,7,8.95,100
81,4.6,19,8,9.63,100
53,6.5,16,10,7.6,98
60,3.8,26,9,5.97,95
66,5.4,23,10,7.86,100
87,7.0,12,4,7.45,85
73,7.6,21,7,9.13,100
54,2.0,22,5,5.92,79
83,7.5,11,10,7.6,100
55,4.4,12,9,6.15,75
71,2.8,14,4,6.9,81
60,4.2,20,6,8.67,93
97,7.9,17,4,7.55,100
65,4.4,21,4,7.12,95
82,3.3,16,7,7.2,95
58,5.4,24,5,7.48,95
55,2.7,26,6,8.88,94
65,1.5,13,8,9.34,79
78,1.9,22,8,9.61,100
52,1.9,27,10,8.88,100
69,2.1,10,4,6.86,66
85,2.0,25,7,8.46,100
68,5.5,22,7,7.38,100
75,2.3,19,8,6.6,89
52,3.4,21,10,9.12,99
68,7.3,11,10,5.67,92
69,4.3,12,10,9.38,100
81,5.7,19,6,7.48,95
56,2.2,11,5,8.24,80
90,2.3,22,6,8.34,100
82,1.3,22,9,9.35,100
89,2.2,27,9,8.24,100
88,3.0,12,5,8.14,88
67,2.2,16,8,5.79,85
89,1.6,23,5,7.73,97
50,1.8,29,7,6.15,87
60,4.2,26,9,8.67,100
77,2.4,21,4,7.7,85
74,3.5,25,4,8.42,99
99,4.5,21,8,5.68,100
72,5.8,24,7,5.86,99
80,1.3,19,6,8.58,92
79,6.6,16,7,5.81,86
91,5.4,29,4,5.81,100
84,1.6,14,4,5.55,74
56,7.1,10,9,9.61,99
65,7.4,26,7,8.67,100
75,1.4,12,7,7.02,84
97,2.9,22,4,6.78,91
98,6.6,23,6,7.0,100
51,6.2,27,8,8.83,100
50,2.3,13,10,8.34,83
97,2.5,27,8,6.3,100
61,3.6,14,7,6.25,75
54,4.4,25,8,5.92,98
86,5.3,10,4,8.34,92
81,3.6,23,4,8.79,97
58,4.2,24,7,6.64,100
90,6.2,18,7,5.59,97
84,1.3,24,10,5.85,99
68,2.8,26,10,9.66,100
97,6.0,13,9,6.77,100
65,7.3,21,7,8.81,100
52,4.6,14,6,8.19,88
69,4.7,14,8,7.14,83
73,1.8,20,7,6.38,92
82,4.1,15,5,6.02,77
73,4.7,16,9,8.14,100
60,2.7,23,5,8.83,98
98,2.9,20,4,8.27,93
57,3.6,22,10,7.78,98
85,1.1,11,8,5.68,73
87,3.3,16,7,9.66,100
89,2.5,29,5,8.93,100
69,3.3,13,8,6.76,87
84,1.8,17,4,9.71,97
97,7.2,29,10,8.09,100
74,5.2,28,6,8.0,100
84,5.8,22,9,8.72,100
74,6.5,23,8,8.99,100
78,4.5,19,8,8.32,99
67,1.6,20,6,6.05,85
95,4.8,11,8,6.95,100
67,5.1,18,4,9.49,91
51,6.2,26,4,6.47,90
84,4.0,12,6,7.1,86
65,1.9,15,9,7.36,87
90,3.0,14,7,7.39,88
85,3.5,14,5,8.14,91
82,5.5,24,7,9.56,100
53,5.0,26,8,6.53,98
82,3.5,18,5,6.02,88
63,7.9,12,6,6.35,87
70,5.2,29,6,9.31,100
97,2.7,26,9,8.28,100
69,1.7,19,5,6.73,81
57,2.1,12,4,9.01,75
56,2.7,27,5,9.2,97
52,2.1,27,8,9.14,100
66,2.3,26,4,9.45,100
82,3.0,12,10,6.58,88
97,2.2,12,10,8.75,100
61,7.3,15,10,7.48,99
71,1.6,22,6,9.12,100
71,4.7,24,5,8.63,100
95,3.9,18,10,8.84,100
79,7.9,13,7,8.32,100
87,1.8,23,9,6.26,92
87,3.8,14,7,7.84,89
94,7.8,11,10,9.73,100
57,7.1,20,9,9.53,100
76,6.7,18,8,5.69,100
76,2.8,12,7,6.21,89
83,2.2,18,5,6.07,86
70,5.7,12,5,8.62,92
79,7.5,11,7,9.02,94
82,4.9,21,10,6.42,100
77,5.0,19,5,7.68,92
96,3.0,18,8,9.12,100
82,6.4,24,4,8.65,100
54,2.3,17,10,7.83,88
97,3.3,14,8,8.04,90
68,4.0,20,9,7.69,100
53,4.6,11,8,6.78,76
84,2.7,24,10,7.93,100
98,1.8,15,9,8.46,100
66,5.3,17,10,9.26,100
93,3.0,14,5,8.24,81
77,5.1,25,4,8.77,100
79,2.1,27,10,6.19,100
78,4.4,15,10,7.48,100
95,4.7,14,5,5.54,82
55,1.4,25,6,6.56,87
84,3.4,22,5,8.62,98
90,1.9,14,9,9.76,100
86,1.4,22,5,5.93,97
73,7.9,26,5,7.23,100
78,3.3,27,4,8.94,100
98,6.7,17,5,6.38,100
95,2.8,22,10,7.89,100
80,5.8,28,4,8.65,100
84,6.3,12,7,8.15,99
82,5.2,17,6,6.31,91
70,4.3,11,4,7.03,79
81,3.9,17,9,8.87,100
72,3.4,22,7,7.88,100
82,7.5,22,4,5.52,96
52,6.8,10,4,8.77,85
67,7.8,15,6,5.65,89
74,1.9,28,10,8.71,100
91,6.1,25,9,6.37,100
80,7.6,17,8,9.62,100
52,2.3,10,8,7.08,79
89,1.5,25,4,6.91,89
95,6.2,18,5,6.14,94
73,5.0,22,9,6.81,100
99,6.9,20,7,9.27,100
81,2.0,22,5,9.78,91
96,6.6,19,5,7.08,100
71,2.4,13,9,7.43,91
72,2.1,15,10,8.6,96
51,2.1,16,4,9.31,80
76,6.7,14,4,8.05,94
91,5.7,20,4,7.18,100
51,4.7,22,4,7.27,89
75,3.5,28,8,8.49,100
66,7.1,19,4,5.51,88
89,3.7,19,8,8.16,100
82,6.7,20,8,7.03,100
58,4.1,16,10,8.92,97
92,3.6,27,4,5.9,100
97,4.2,13,6,8.03,98
88,3.1,11,7,7.57,76
78,6.2,23,5,8.26,100
91,4.5,22,8,5.78,100
75,2.6,21,9,7.99,100
84,7.3,16,9,7.91,100
99,3.7,11,7,7.91,98
74,4.8,22,9,8.09,100
73,7.3,23,6,8.41,100
62,5.4,26,9,8.96,100
56,1.8,18,5,6.66,72
85,7.6,26,5,9.05,100
94,5.4,17,8,7.64,100
69,3.3,11,4,5.83,74
50,2.0,22,10,5.75,90
57,6.6,12,6,6.94,86
95,5.3,25,8,8.88,100
65,4.7,15,6,8.54,93
63,7.3,28,4,8.89,100
61,6.5,16,9,7.72,100
72,2.1,19,9,7.39,97
64,3.2,18,10,6.13,93
77,2.7,11,4,6.91,80
83,6.2,24,8,7.37,100
51,1.2,14,10,5.88,77
81,5.0,13,4,6.45,87
72,6.3,29,7,8.07,100
71,7.1,13,5,8.66,91
74,3.4,27,10,9.79,100
71,6.7,13,10,9.51,100
71,1.8,26,8,8.26,99
98,6.9,21,6,7.31,100
91,1.9,26,7,8.24,100
55,3.8,19,8,8.88,95
64,6.6,10,4,6.01,69
92,2.0,27,4,7.26,99
86,2.6,27,4,9.11,100
82,6.1,23,4,7.15,97
57,6.0,24,6,7.96,100
93,5.5,21,7,8.03,100
93,5.9,13,9,6.29,92
54,4.8,12,5,7.06,74
88,2.8,29,6,6.94,100
53,3.4,21,6,5.61,77
55,2.3,16,9,5.6,82
94,7.4,20,9,9.08,100
81,5.1,10,5,6.67,81
79,3.8,15,5,7.73,80
96,4.2,24,9,6.78,100
84,7.6,24,4,9.54,100
89,2.1,28,6,6.61,100
65,5.1,20,8,7.35,99
62,4.5,11,5,9.25,91
99,5.3,23,5,9.12,100
91,1.1,11,9,6.3,71
79,7.1,13,7,8.95,100
68,7.5,26,8,7.47,100
66,5.0,12,8,7.58,94
68,5.9,22,5,6.07,94
77,7.5,18,4,5.85,90
75,6.0,16,7,8.63,100
86,2.1,24,8,7.63,99
75,5.0,20,5,7.38,97
72,5.2,29,8,8.64,100
58,4.0,11,10,8.79,96
61,6.2,24,7,6.18,100
50,7.5,23,7,8.12,100
50,7.5,29,10,6.08,100
96,4.2,20,6,8.73,100
83,1.8,12,10,8.32,86
81,7.9,26,9,9.61,100
97,6.9,21,9,5.8,100
74,1.9,24,5,5.75,84
89,7.4,25,7,6.71,100
94,7.1,14,6,6.63,95
50,4.6,29,6,6.56,100
65,5.1,15,8,9.4,99
88,3.8,28,8,6.57,100
54,1.4,14,10,6.67,79
71,3.3,12,6,8.77,87
78,6.6,10,10,7.43,100
52,1.0,15,10,8.84,84
61,3.3,24,8,5.78,89
75,3.8,11,7,7.6,85
65,4.8,12,10,5.64,80
86,7.4,26,4,5.77,100
71,3.4,21,7,9.4,100
78,3.4,27,6,6.1,100
63,6.2,24,6,7.79,100
77,4.2,21,10,7.27,100
54,2.6,25,7,6.99,95
96,4.2,17,8,9.37,100
98,2.0,23,8,5.59,99
79,2.2,26,9,8.35,100
95,4.5,17,6,9.64,100
54,3.9,24,5,7.91,90
61,7.4,23,9,9.53,100
65,3.5,27,8,5.72,96
75,5.1,29,7,7.3,100
75,5.4,16,8,6.62,98
